Gene	target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	GeneID
RBK1	C1_12780W_A	0.015016361619721957	0.05351317870698285	0.24559725928244083	0.10098637051877946	6.295841436186167	0.03297692133850045	0.0027805243535602106	0.01575880994852078	0.019882246825453587	0.019882246825453587	3646830
RBP1	C7_02570C_A	0.07317572171443042	0.17409037324969379	-0.29641776845794765	0.16543633658024753	7.277736427430958	0.07762437880145565	7.785098530568511e-4	0.06004189339381637	0.023755550336494766	0.06004189339381637	3647647
RBR1	CR_04440C_A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3640986
RBR2	CR_04420C_A	0.07934570226801556	0.1849331809702536	-0.24423764813735724	0.13920679677994996	4.49831752942069	0.031426018700547995	0.016519590737968517	4.587072157791923e-4	0.026543814305885455	0.026543814305885455	3640983
RBR3	C7_03290C_A	1.3180350603457137e-4	0.001145499275478301	0.43599328672388793	0.11404289259332687	5.318652548260358	0.06142833071934129	0.007723310644155919	0.002134417775314027	0.021178425691517608	0.021178425691517608	3646728
RBT1	C4_03520C_A	0.0038167705675117	0.018548159795807154	-1.0797008887962658	0.3732216741667151	3.6111824863948496	0.5946708154839129	0.04579726579328113	0.2637458854685092	0.0472282818486649	0.2637458854685092	3645377
RBT4	C1_07030C_A	4.357789653150675e-6	6.171292615696989e-5	-0.562236848737311	0.12239715667828702	6.722075810177799	0.11693825606071272	0.001566558871731633	0.03172469437922201	0.020841486436293317	0.03172469437922201	3639534
RBT5	C4_00130W_A	0.23657049681201067	0.40263582700348494	-0.19191541407580692	0.16214517383445784	8.510956882924923	0.06135247998459258	2.467877121020884e-4	0.05817778428302359	0.032519918304727044	0.05817778428302359	3645007
RBT7	C4_03100W_A	0.8020976810502433	0.8792252940653706	-0.07490830107409345	0.2988761645642434	3.156611537390947	0.17524999605062103	0.09849605022673816	0.10000830920577891	0.07178094885249321	0.10000830920577891	3637925
RCA1	C1_00080C_A	0.676216280479544	0.793066924459799	0.06759946554864699	0.1618637559180057	6.148907392461997	0.05221356002823579	0.002659993631153418	0.05556195187969931	0.01985649715474692	0.05556195187969931	3639303
RCE1	C4_04570W_A	0.023267440992390302	0.07609461502832199	-0.2450679811458477	0.10800635059992365	5.437812084188176	0.028074309665600993	0.005078581184359253	0.007940212280168394	0.020844467193226593	0.020844467193226593	3641104
RCH1	C4_00360C_A	0.8191857968004594	0.889776957646992	0.03239968130832046	0.14173565309006886	5.267074200454275	0.039353529679710855	0.007517887558727058	0.037124324345424814	0.021356404768544272	0.037124324345424814	3645002
RCK2	C2_07130C_A	1.3041306311525956e-5	1.5550453645863548e-4	0.44577468072655113	0.10225571647741653	6.840146312502059	0.0730701010455914	0.0019227243122687313	0.01850181466781728	0.02131334580397526	0.02131334580397526	3643507
RCL1	C2_07450C_A	6.216958676694376e-4	0.0042604031759140085	0.3463781735737819	0.10122191510940895	6.650686980677545	0.0515590290953956	0.0021662147622028313	0.018670187020373336	0.0206023987898336	0.0206023987898336	3645199
RCN1	C6_01160W_A	0.9066680178078148	0.9421117002845535	-0.017146372886049244	0.1462472794237248	4.359708569534424	0.02874007434395448	0.019222107272227132	0.013530359246848658	0.028307374369641872	0.028307374369641872	3644058
RCT1	C3_05710W_A	4.3830377371529444e-5	4.474601196730454e-4	-0.6278355209750099	0.15364394702031006	8.518820320329583	0.15539518849717254	2.392335303318337e-4	0.05221957192740116	0.032587297272071596	0.05221957192740116	3641727
RCY1	C5_01720C_A	0.014412769401506502	0.05176441636854324	0.2959075571460022	0.12093616963730844	5.054571625003332	0.04981380863810185	0.010194351163087435	0.018938483351532198	0.022306886895898888	0.022306886895898888	3643731
RDH54	C2_10840W_A	0.026228664778758178	0.08291373245543811	-0.36031506335939384	0.1620989577052857	5.207262015014502	0.08715540264101773	0.0063780550477975555	0.052013216261402456	0.021594795172976994	0.052013216261402456	3641231
RDI1	C3_05000W_A	1.2159526808247867e-15	1.394136515976419e-13	-0.8755012078206585	0.10939899968033892	7.64369114807483	0.21635186683843108	5.818027918310637e-4	0.003343389501159575	0.02601406638829959	0.02601406638829959	3635167
REC8	C1_04690C_A	0.08864036920987081	0.20010370360819757	-0.5716529662645239	0.3357502284701169	2.6224323850091924	0.2980941304715634	0.12483962004446192	0.11209744530747426	0.12566752643939513	0.12566752643939513	NA
REG1	C2_01200C_A	0.020283551527313273	0.06816828309235724	0.2550091234172209	0.10986747988619326	7.672854705792655	0.026353326328965615	6.194576664717474e-4	0.008854295272657338	0.026204682636957327	0.026204682636957327	3638858
REI1	C1_05060W_A	0.32662285186817835	0.4988824053087457	0.10402528141293257	0.10604664252325344	7.323653964283777	0.02418042881999669	9.560339492325697e-4	0.023243421472655658	0.02403483358511122	0.02403483358511122	3647536
REP1	CR_00140W_A	0.8018020440884616	0.8791265531995015	-0.03809300313100149	0.15175551768990447	4.480950527539107	0.045183121370237445	0.016419065603561156	0.034758128061618654	0.026743075511102936	0.034758128061618654	3639708
RER2	C5_05330C_A	0.3430223665452516	0.5148789902675704	-0.09677101553818827	0.10205648251512837	6.057152260222164	0.0034525921540748622	0.0032543432815285143	-0.0022814219144246116	0.019891269214828606	0.019891269214828606	3636399
RET2	C5_02300C_A	3.0501582119205333e-7	5.809917974271635e-6	-0.5358068756841607	0.10464321731462796	7.2466089994819285	0.10043374914787995	7.683960151059808e-4	0.022873663953766006	0.02356538827368614	0.02356538827368614	3637714
REV3	C3_06080W_A	0.02425573405715284	0.07838085986381854	-0.23628204684368528	0.10487188930766604	5.737138290722162	0.019005396323411656	0.004198424995168294	-2.0152940671100059e-4	0.02024182648696362	0.02024182648696362	3641749
REX2	C2_01580W_A	0.4629440299925554	0.6267616333429038	-0.07578312506465923	0.10324567778949346	5.839192578204512	0.01071284526667965	0.003617250794130724	0.006802800290148953	0.02007090472189573	0.02007090472189573	3635783
REX3	C1_13200C_A	0.19598174044111902	0.35332420214997023	0.17624279452338978	0.13629639602827065	4.652241622049365	0.03249139664737075	0.016270359545069696	0.011001864362587727	0.02501121283336406	0.02501121283336406	3636164
RFA1	C2_00380C_A	0.5178202543231789	0.6701203291241139	0.08744822783216101	0.13522035240290228	6.964588688658382	0.0376774995774281	0.001211617586880049	0.03942070175526457	0.021922298711863714	0.03942070175526457	3638823
RFA2	C2_07120W_A	0.05867823726077892	0.1479237423039171	-0.227701744679771	0.12043910648542568	6.490181862157638	0.04260753697979596	0.0018433553125100331	0.030391263289729315	0.0201800734955959	0.030391263289729315	3643506
RFC1	C2_05790C_A	0.9224226386230967	0.9541089124689283	-0.00973303408091244	0.09994643493812157	6.640086752755269	0.009792812361318884	0.0016287874625267643	0.009532924457577203	0.0205696344415625	0.0205696344415625	3645582
RFC2	C7_00820W_A	1.2553686430242425e-6	2.0283219104906597e-5	-0.5206338640395113	0.10742044788297775	5.477540517977296	0.09502163337232572	0.004891042078101532	0.017654437209409735	0.020751519307186335	0.020751519307186335	3637939
RFC3	C5_04000W_A	0.5431816892365409	0.6913854037635049	0.07730809466755492	0.12714964750486935	5.254053999884654	0.03309604764594873	0.007794247577280041	0.02813249211297003	0.021405194890250525	0.02813249211297003	3647440
