Symbol	GeneID
C3_01910C_A	30515182
tK(UUU)1	30515181
tV(AAC)2	30515180
C3_01780C_A	30515179
C3_01740C_A	30515178
tR(CCU)1	30515177
C3_01090W_A	30515176
MRPL33	30515175
C3_01060W_A	30515174
PRM9	30515173
tG(UCC)1	30515172
C3_00620C_A	30515171
C2_10830W_A	30515170
C2_10800W_A	30515169
C2_10650W_A	30515168
MTR2	30515167
tF(GAA)4	30515166
tV(UAC)1	30515165
FGR6-4	30515164
C2_10000C_A	30515163
C2_09910C_A	30515162
C2_09830C_A	30515161
C2_09550C_A	30515160
C2_09540W_A	30515159
C2_09290W_A	30515158
tP(UGG)2	30515157
C2_08900W_A	30515156
C2_08520C_A	30515155
C2_08400C_A	30515154
MFA1	30515153
C2_08160C_A	30515152
C2_08060W_A	30515151
RPR1	30515150
RPS10	30515149
tA(AGC)1	30515148
tI(AAU)2	30515147
C2_07910C_A	30515146
tM(CAU)2	30515145
C2_07770C_A	30515144
RHO2	30515143
C2_06850W_A	30515142
C2_06630C_A	30515141
C2_06610C_A	30515140
C2_06560W_A	30515139
tI(AAU)1	30515138
C2_06450C_A	30515137
C2_06410W_A	30515136
C2_06400C_A	30515135
ATP14	30515134
SMD2	30515133
tM(CAU)3	30515132
COX9	30515131
COX8	30515130
C2_05880W_A	30515129
C2_05870W_A	30515128
C2_05710C_A	30515127
tS(AGA)4	30515126
KTI11	30515125
C2_05600W_A	30515124
C2_05480C_A	30515123
tI(AAU)3	30515122
C2_05420C_A	30515121
C2_05410W_A	30515120
C2_05310C_A	30515119
tQ(UUG)3	30515118
WH11	30515117
tT(AGU)4	30515116
tG(GCC)3	30515115
tD(GUC)5	30515114
C2_04610C_A	30515113
QCR8	30515112
C2_04170C_A	30515111
C2_04070C_A	30515110
RPL39	30515109
C2_03880C_A	30515108
tF(GAA)3	30515107
tR(UCU)3	30515106
INO4	30515105
RPS9B	30515104
tF(GAA)2	30515103
tR(UCU)2	30515102
tE(CUC)1	30515101
C2_03580W_A	30515100
COX6	30515099
C2_03210W_A	30515098
C2_02910W_A	30515097
C2_02800W_A	30515096
C2_02640C_A	30515095
tV(AAC)1	30515094
C2_02080W_A	30515093
C2_01800W_A	30515092
tL(CAA)1	30515091
C2_01440C_A	30515090
tL(UAA)1	30515089
COX17	30515088
tL(CAA)2	30515087
C2_01050W_A	30515086
C2_01040W_A	30515085
ATP18	30515084
STF2	30515083
RPL38	30515082
tV(CAC)1	30515081
TLO4	30515080
C1_14090W_A	30515079
tA(AGC)7	30515078
DAD1	30515077
C1_13690C_A	30515076
C1_13500C_A	30515075
C1_13260W_A	30515074
C1_13100W_A	30515073
RPL14	30515072
C1_13040C_A	30515071
C1_13000W_A	30515070
C1_12990W_A	30515069
C1_12980W_A	30515068
C1_12940C_A	30515067
C1_12910W_A	30515066
BLP1	30515065
tW(CCA)1	30515064
C1_12480W_A	30515063
RPL27A	30515062
ATP19	30515061
C1_11960C_A	30515060
tY(GUA)4	30515059
tY(GUA)1	30515058
C1_11780W_A	30515057
C1_11680C_A	30515056
C1_11570W_A	30515055
C1_11410C_A	30515054
RPL37B	30515053
C1_11320C_A	30515052
C1_11260C_A	30515051
C1_11180C_A	30515050
RPL2	30515049
RPL29	30515048
C1_10960W_A	30515047
ERP5	30515046
tI(UAU)1	30515045
RPS17B	30515044
C1_10750C_A	30515043
C1_10590W_A	30515042
RPL42	30515041
C1_10130W_A	30515040
NTF2	30515039
PET100	30515038
C1_09940W_A	30515037
tS(CGA)1	30515036
C1_09740C_A	30515035
C1_09560C_A	30515034
C1_08970W_A	30515033
C1_08960W_A	30515032
C1_08930C_A	30515031
C1_08350C_A	30515030
